Angelia Crumpler 1980 forward 877654433 6
Morgan Schumacher 1981 back 87998901 7
Fausto Horta 1982 mid 87998902 2
Lino Mckelvey 1983 forward 87998903 10
Lesia Sargent 1984 back 87998904 3 
Sharen Lima 1985 mid 87998905 10 
Renita Vance 1986 forward 87998906 6 
Chara Hemsley 1987 back 87998907 4
Chet Cluff 1988 mid 87998908 1
Luciana Sholtis 1989 forward 87998909 3
Mercedes Aurand 1990 back 87998910 9
Ileana Simmonds 1991 mid 87998911 8 
Jewell Stephens 1992 forward 87998912 2
Gina Isaacson 1993 back 87998913 5
Hermelinda Higa 1994 mid 87998914 6 
Fredda Vrba 1995 forward 87998915 7 
Jaquelyn Fizer 1996 back 87998916 10 
Fe Jonason 1997 mid 879989178 6  
Fredda Vrba 1998 forward 87998918 7 
Jaquelyn Fizer 1999 back 87998919 3
Fe Jonason 2000 mid 87998920 5
Fredda Vrba 2001 forward 87998921 7 
Jaquelyn Fizer 2002 back 879989221 useless
